FIELD,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP
SPLUS-d087,Calibration_iDR5_3_PSF,0.007,-0.007,-0.0023
SPLUS-d088,Calibration_iDR5_3_PSF,0.0125,0.0044,0.0028
SPLUS-d090,Calibration_iDR5_3_PSF,0.0145,0.0026,0.0026
SPLUS-d091,Calibration_iDR5_3_PSF,0.0198,0.0041,0.0035
SPLUS-d094,Calibration_iDR5_3_PSF,0.0365,0.0175,-0.0137
SPLUS-d097,Calibration_iDR5_3_PSF,0.0115,-0.0033,-0.0048
SPLUS-d098,Calibration_iDR5_3_PSF,0.011,-0.0017,-0.0044
SPLUS-d099,Calibration_iDR5_3_PSF,0.0147,-0.0007,-0.0049
SPLUS-d102,Calibration_iDR5_3_PSF,0.0087,-0.0096,-0.0068
SPLUS-d106,Calibration_iDR5_3_PSF,0.0091,-0.0008,0.0013
SPLUS-d107,Calibration_iDR5_3_PSF,0.0163,0.0031,0.0018
SPLUS-d108,Calibration_iDR5_3_PSF,0.0296,0.0061,-0.0028
SPLUS-d109,Calibration_iDR5_3_PSF,0.0359,0.013,-0.0103
SPLUS-d112,Calibration_iDR5_3_PSF,0.0084,-0.0057,-0.006
SPLUS-d114,Calibration_iDR5_3_PSF,0.0166,-0.0015,-0.0018
SPLUS-d115,Calibration_iDR5_3_PSF,0.0114,-0.0048,-0.0052
SPLUS-d117,Calibration_iDR5_3_PSF,0.0203,0.0029,-0.0074
SPLUS-d120,Calibration_iDR5_3_PSF,0.0033,-0.0031,-0.0005
SPLUS-d121,Calibration_iDR5_3_PSF,0.0124,0.0028,-0.0015
SPLUS-d123,Calibration_iDR5_3_PSF,0.0157,0.0014,-0.0019
SPLUS-d124,Calibration_iDR5_3_PSF,0.016,0.0016,-0.0012
SPLUS-d125,Calibration_iDR5_3_PSF,0.0189,0.0057,0.0026
SPLUS-d126,Calibration_iDR5_3_PSF,0.0103,-0.0039,-0.0047
SPLUS-d127,Calibration_iDR5_3_PSF,0.0046,-0.0074,-0.0032
SPLUS-d128,Calibration_iDR5_3_PSF,0.0174,0.0009,-0.007
