iDR5_Field_Name,Field,NAME,PHOT,aper_corr_single_U,aper_corr_single_F378,aper_corr_single_F395,aper_corr_single_F410,aper_corr_single_F430,aper_corr_single_G,aper_corr_single_F515,aper_corr_single_R,aper_corr_single_F660,aper_corr_single_I,aper_corr_single_F861,aper_corr_single_Z
STRIPE82-0107,STRIPE82-0107,STRIPE82_0107,single,-0.49113,-0.49632,-0.63932,-0.46257,-0.48816,-0.37607,-0.46478,-0.31609,-0.40461,-0.26701,-0.34925,-0.29563
STRIPE82-0108,STRIPE82-0108,STRIPE82_0108,single,-0.51006,-0.4741,-0.43656,-0.39331,-0.35197,-0.40923,-0.32806,-0.38849,-0.38564,-0.30636,-0.28546,-0.35753
STRIPE82-0109,STRIPE82-0109,STRIPE82_0109,single,-0.62142,-0.53534,-0.48541,-0.4295,-0.50657,-0.52878,-0.4132,-0.4326,-0.39261,-0.3933,-0.31084,-0.37968
STRIPE82-0110,STRIPE82-0110,STRIPE82_0110,single,-0.50028,-0.442,-0.4803,-0.40502,-0.38275,-0.36808,-0.38754,-0.33145,-0.30671,-0.29325,-0.24844,-0.30904
STRIPE82_0111,STRIPE82-0111,STRIPE82_0111,single,-0.41817,-0.37792,-0.32911,-0.35531,-0.36364,-0.31865,-0.28499,-0.29057,-0.31791,-0.24459,-0.26868,-0.28689
STRIPE82_0112,STRIPE82-0112,STRIPE82_0112,single,-0.67526,-0.59953,-0.77335,-0.61124,-0.56627,-0.51382,-0.49698,-0.48455,-0.49375,-0.42229,-0.38951,-0.39352
STRIPE82-0113,STRIPE82-0113,STRIPE82_0113,single,-0.54652,-0.44701,-0.42949,-0.39688,-0.41823,-0.38009,-0.36186,-0.36066,-0.34437,-0.30579,-0.3035,-0.28603
STRIPE82-0114,STRIPE82-0114,STRIPE82_0114,single,-0.69705,-0.61659,-0.49238,-0.4948,-0.43498,-0.46761,-0.40243,-0.44378,-0.35571,-0.38469,-0.31924,-0.36979
STRIPE82-0115,STRIPE82-0115,STRIPE82_0115,single,-0.67169,-0.54312,-0.48636,-0.47958,-0.45657,-0.50465,-0.42502,-0.43529,-0.52153,-0.35597,-0.47997,-0.35754
STRIPE82-0116,STRIPE82-0116,STRIPE82_0116,single,-0.609,-0.58554,-0.44983,-0.55818,-0.57061,-0.48749,-0.43905,-0.41204,-0.40372,-0.34488,-0.34639,-0.34742
STRIPE82-0117,STRIPE82-0117,STRIPE82_0117,single,-0.43287,-0.46059,-0.41175,-0.41596,-0.38646,-0.33965,-0.32724,-0.2848,-0.33501,-0.26361,-0.29531,-0.30582
STRIPE82-0118,STRIPE82-0118,STRIPE82_0118,single,-0.38842,-0.3807,-0.31904,-0.3113,-0.29449,-0.28823,-0.27506,-0.2795,-0.2472,-0.28345,-0.23696,-0.25054
STRIPE82_0119,STRIPE82-0119,STRIPE82_0119,single,-0.62063,-0.51361,-0.6182,-0.58437,-0.5429,-0.4964,-0.54339,-0.36993,-0.41195,-0.31602,-0.37639,-0.3562
STRIPE82-0120,STRIPE82-0120,STRIPE82_0120,single,-0.4795,-0.51903,-0.53416,-0.43004,-0.42455,-0.40277,-0.38935,-0.35714,-0.31415,-0.33059,-0.24066,-0.31889
STRIPE82-0121,STRIPE82-0121,STRIPE82_0121,single,-0.57945,-0.36965,-0.4805,-0.44957,-0.42116,-0.41156,-0.3657,-0.36644,-0.32904,-0.33167,-0.31978,-0.33023
STRIPE82_0122,STRIPE82-0122,STRIPE82_0122,single,-0.38751,-0.37642,-0.43421,-0.44787,-0.36202,-0.37165,-0.34634,-0.3292,-0.34767,-0.3068,-0.28223,-0.31927
STRIPE82-0123,STRIPE82-0123,STRIPE82_0123,single,-0.89614,-0.61229,-0.57759,-0.65024,-0.50339,-0.73567,-0.4312,-0.62258,-0.40592,-0.53204,-0.33497,-0.45606
